State,Country,County Name,Full County Name,Cases
New Jersey,USA, Morris,"Morris, New Jersey",1
New Jersey,USA, Somerset,"Somerset, New Jersey",1
New Jersey,USA, unknown,"unknown, New Jersey",17
Louisiana,USA,  Orleans,"Orleans, Louisiana",21
Louisiana,USA, Jefferson,"Jefferson, Louisiana",3
Louisiana,USA, St. Tammany,"St. Tammany, Louisiana",3
Louisiana,USA, Caddo,"Caddo, Louisiana",1
Louisiana,USA, Iberia,"Iberia, Louisiana",1
Louisiana,USA, Lafourche,"Lafourche, Louisiana",1
Louisiana,USA, St. Bernard,"St. Bernard, Louisiana",1
Louisiana,USA, St. Charles,"St. Charles, Louisiana",1
Louisiana,USA, Terrebonne,"Terrebonne, Louisiana",1
Louisiana,USA, unknown,"unknown, Louisiana",11
Georgia,USA,  Cobb,"Cobb, Georgia",8
Georgia,USA, Fulton,"Fulton, Georgia",8
Georgia,USA, Dekalb,"Dekalb, Georgia",5
Georgia,USA, Bartow,"Bartow, Georgia",4
Georgia,USA, Floyd,"Floyd, Georgia",3
Georgia,USA, Fayette,"Fayette, Georgia",3
Georgia,USA, Gwinnett,"Gwinnett, Georgia",2
Georgia,USA, Gordon,"Gordon, Georgia",2
Georgia,USA, Polk,"Polk, Georgia",1
Georgia,USA, Cherokee,"Cherokee, Georgia",1
Georgia,USA, Charlton,"Charlton, Georgia",1
Georgia,USA, Lowndes,"Lowndes, Georgia",1
Georgia,USA, Lee,"Lee, Georgia",1
Georgia,USA, Camden,"Camden, Georgia",1
Georgia,USA, Coweta,"Coweta, Georgia",1
Illinois,USA,  Cook,"Cook, Illinois",27
Illinois,USA, Kane,"Kane, Illinois",2
Illinois,USA, McHenry,"McHenry, Illinois",2
Illinois,USA, Lake,"Lake, Illinois",1
Texas,USA,  Dallas,"Dallas, Texas",8
Texas,USA, Fort Bend,"Fort Bend, Texas",6
Texas,USA, Harris,"Harris, Texas",6
Texas,USA, Houston,"Houston, Texas",3
Texas,USA, Collin,"Collin, Texas",4
Texas,USA, Montgomery,"Montgomery, Texas",3
Texas,USA, Travis,"Travis, Texas",2
Texas,USA, Gregg,"Gregg, Texas",1
Texas,USA, Tarrant,"Tarrant, Texas",1
Oregon,USA,  Washington,"Washington, Oregon",10
Oregon,USA, Linn,"Linn, Oregon",8
Oregon,USA, Jackson,"Jackson, Oregon",2
Oregon,USA, Umatilla,"Umatilla, Oregon",2
Oregon,USA, Marion,"Marion, Oregon",2
